"data_id","stem_id","treatment","plot_no","pot_no","ind_no","position_no","n_head","max_rice_height","spad","total_dry_wt","stem_only_wt","n_grain","n_fert_grain","n_ster_grain","prop_ster_grain","total_head_minus_grain","total_head_wt","total_grain_wt","grain_per_stem_wt","fert_grain_wt","ster_grain_wt","prop_fert_ster_wt"
1,"P1-POT1-IND1","CT",1,1,1,"1-1",17,92.9,14.3,70,50.07,855,596,259,0.303,1.13,19.93,18.8,0.375474336,14.64,1.75,0.893227578
2,"P1-POT1-IND2","CT",1,1,2,"1-2",17,96.7,12.6,68,49.52,895,677,218,0.244,0.86,18.48,17.62,0.355815832,14.12,1.55,0.901084876
3,"P1-POT1-IND3","CT",1,1,3,"1-3",19,94.8,17.3,69,49.94,971,663,308,0.317,0.92,19.06,18.14,0.363235883,14.06,2.18,0.865763547
4,"P1-POT2-IND1","CT",1,2,1,"2-1",13,96,15.8,51,37.8,648,493,155,0.239,0.62,13.2,12.58,0.332804233,10.3,0.98,0.913120567
5,"P1-POT2-IND2","CT",1,2,2,"2-2",20,90,19.6,79,57.59,955,810,145,0.152,0.99,21.41,20.42,0.354575447,17.49,0.92,0.950027159
6,"P1-POT2-IND3","CT",1,2,3,"2-3",15,98.3,18.3,53,38.56,685,546,139,0.203,0.72,14.44,13.72,0.355809129,11.41,0.93,0.924635332
7,"P1-POT3-IND1","CT",1,3,1,"3-1",13,100.5,13.1,52,37.16,686,476,210,0.306,1.05,14.84,13.79,0.371097955,10.74,1.67,0.865431104
8,"P1-POT3-IND2","CT",1,3,2,"3-2",18,95.3,16.7,65,46.88,827,664,163,0.197,0.78,18.12,17.34,0.369880546,14.45,1.17,0.925096031
9,"P1-POT3-IND3","CT",1,3,3,"3-3",24,96.5,19.3,98,69.08,1338,1077,261,0.195,1.35,28.92,27.57,0.39910249,23.12,1.83,0.926653307
10,"P2-POT1-IND1","PN",2,1,1,"1-1",23,93.4,13.2,86,62.1,1163,781,382,0.328,1.3,23.9,22.6,0.363929147,17.03,3.11,0.845580933
11,"P2-POT1-IND2","PN",2,1,2,"1-2",15,101.3,13.4,62,45.42,778,535,243,0.312,0.8,16.58,15.78,0.347424042,12.89,1.31,0.907746479
12,"P2-POT1-IND3","PN",2,1,3,"1-3",16,91.7,13.8,63,47.31,745,550,195,0.262,0.8,15.69,14.89,0.314732615,12.19,1.2,0.910380881
13,"P2-POT2-IND1","PN",2,2,1,"2-1",9,96.7,16.3,43,32.27,498,412,86,0.173,0.46,10.73,10.27,0.318252247,8.56,0.65,0.929424539
14,"P2-POT2-IND2","PN",2,2,2,"2-2",19,98,12.8,71,50.1,970,762,208,0.214,0.93,20.9,19.97,0.398602794,16.56,1.47,0.918469218
15,"P2-POT2-IND3","PN",2,2,3,"2-3",16,91.8,23.7,60,48.58,612,442,170,0.277777778,0.53,11.42,10.89,0.224166324,8.92,0.72,0.925311203
16,"P2-POT3-IND1","PN",2,3,1,"3-1",15,95.8,14.7,58,43.93,786,360,426,0.541984733,0.81,14.07,13.26,0.301843842,7.66,4.35,0.637801832
17,"P2-POT3-IND2","PN",2,3,2,"3-2",16,94.8,13,59,42.92,774,331,443,0.572351421,0.76,16.08,15.32,0.35694315,6.99,6.77,0.507994186
18,"P2-POT3-IND3","PN",2,3,3,"3-3",24,91.8,14.1,94,71.25,1049,766,283,0.269780744,1.25,22.75,21.5,0.301754386,17.06,2.4,0.876670092
