"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",16565,6691,5951,3895,464
"S002",11360,5096,4237,2752,307
"S003",3070,1344,749,409,91
"S004",3634,1626,866,470,88
"S005",1605,900,436,264,52
"S006",1737,1097,468,227,55
"S007",1473,927,419,208,36
"S008",1251,996,447,174,48
"S009",2188,1488,634,333,39
"S010",1738,1087,505,209,51
"S011",2086,1331,582,270,43
"S012",4707,3015,1417,635,111
"S013",2926,2133,824,447,81
"S014",2190,1507,611,286,67
"S015",1762,1215,499,249,43
"S016",2874,2074,799,427,75
"S017",1796,1181,501,215,44
"S018",1089,1579,498,217,27
"S019",4636,2706,1295,644,114
"S020",9460,5493,3273,1950,243
"S021",10104,6002,3215,1810,253
"S022",5555,3904,1769,835,175
"S023",3672,2405,1150,523,108
"S024",949,1112,405,161,31
"S025",2001,1376,608,229,54
"S026",2388,1382,802,429,68
"S027",4726,3064,1334,673,119
"S028",3026,1968,883,406,86
"S029",3503,2225,899,500,73
"S030",2032,1324,530,261,44
"S031",4210,2200,1067,551,89
"S032",5257,2957,1672,846,128
"S033",10775,5323,3422,2024,311
"S034",3080,1893,1097,618,76
"S035",4505,2071,1250,824,147
"S036",3817,1899,1063,558,112
"S037",15378,7206,5043,3692,434
"S038",18461,7728,6274,4108,510
"S039",0,0,0,0,0
"S040",8,4,5,0,0
"S041",12995,5822,5297,3410,342
"S042",3631,2080,1627,968,77
"S043",2673,1273,807,459,54
"S044",1640,909,453,250,29
"S045",1822,1225,593,271,53
"S046",2256,1448,778,360,51
"S047",1734,1168,533,286,37
"S048",548,451,190,78,12
"S049",4195,2521,1289,563,115
"S050",438,1046,313,145,18
"S051",3058,1505,832,467,70
"S052",3233,2035,951,543,94
"S053",2311,1510,632,321,60
"S054",2241,1248,609,296,50
"S055",1405,871,313,192,37
"S056",2027,1683,673,328,47
"S057",1469,1100,414,253,38
"S058",938,1526,517,407,26
"S059",3160,1991,883,496,85
"S060",2298,1653,604,307,57
"S061",4149,3067,1144,617,109
"S062",2523,1566,646,336,55
"S063",3257,2394,844,477,94
"S064",2049,1866,666,370,49
"S065",3860,2761,1109,573,88
"S066",3176,2168,1076,504,85
"S067",7592,4428,1762,1222,193
"S068",6801,4158,1807,1108,170
"S069",6314,3732,1661,1042,164
"S070",7524,4542,2259,1109,217
"S071",8504,4379,2519,1385,201
"S072",6869,4013,2593,1505,190
"S073",16334,7523,5361,3318,466
"S074",7436,3647,2221,1318,164
"S075",7010,3101,1598,1024,183
"S076",3912,1974,937,529,84
"S077",18260,8606,5518,4304,538
"S078",283,112,86,65,20
"S079",3,0,0,0,0
"S080",5109,2313,1583,1068,141
"S081",13855,6114,4619,3180,393
"S082",9769,4534,3373,2065,285
"S083",1464,669,333,181,27
"S084",4380,1902,930,551,91
"S085",2236,1491,664,284,52
"S086",36,28,17,6,3
"S087",1609,859,377,217,29
"S088",713,505,231,114,19
"S089",1022,686,286,122,32
"S090",923,671,226,101,21
"S091",1296,838,351,207,40
"S092",929,618,221,86,29
"S093",1425,1006,364,219,41
"S094",1691,1295,496,204,39
"S095",574,408,120,75,14
"S096",413,416,132,50,9
"S097",3558,2013,1102,695,84
"S098",1188,674,336,158,15
"S099",1640,1045,462,211,33
"S100",1737,1288,471,242,45
"S101",1612,1118,392,205,33
"S102",652,425,167,81,18
"S103",788,543,230,109,17
"S104",279,280,117,44,6
"S105",1352,892,375,156,34
"S106",891,539,244,110,24
"S107",2379,1395,592,302,50
"S108",2003,1373,510,286,67
"S109",1228,839,310,158,31
"S110",3276,2113,876,398,68
"S111",4861,2956,1263,650,97
"S112",10923,5564,3795,2010,272
"S113",13503,6404,4776,2810,339
"S114",2300,2207,1014,458,62
"S115",3703,1616,895,489,92
"S116",3976,1966,1016,537,93
"S117",18081,8046,5888,4150,518
"S118",21872,9062,7778,4928,610
"S119",0,0,0,0,0
"S120",18,8,7,3,0
"S121",20168,6694,6370,4707,529
"S122",12124,5036,4432,2746,313
"S123",3269,1352,755,479,68
"S124",4349,1685,1030,546,93
"S125",2230,1231,679,265,42
"S126",2915,1885,865,423,64
"S127",1168,475,271,146,30
"S128",1279,801,385,177,33
"S129",1950,1189,546,286,51
"S130",3594,2053,1222,736,91
"S131",4275,2052,1218,727,116
"S132",2726,1990,754,411,70
"S133",1814,1268,491,231,56
"S134",3636,2260,1043,507,85
"S135",2065,1306,593,312,40
"S136",2742,2191,982,438,83
"S137",7009,3668,2266,1323,187
"S138",3209,1747,1061,585,71
"S139",2705,1533,762,391,77
"S140",2325,1642,641,302,60
"S141",2370,1747,631,320,61
"S142",1619,1136,458,236,44
"S143",1859,1248,517,221,48
"S144",643,514,222,95,18
"S145",3173,2168,839,371,95
"S146",515,883,286,92,9
"S147",3421,1884,825,477,102
"S148",3008,2162,724,419,56
"S149",1836,1417,476,250,57
"S150",3586,2383,977,461,93
"S151",5144,3315,1419,743,138
"S152",5956,3976,2078,1058,160
"S153",5799,3025,1876,1012,158
"S154",2940,1799,990,445,81
"S155",6153,2690,1663,901,164
"S156",2485,1139,550,295,57
"S157",15446,6798,5042,3498,482
"S158",11925,4894,3983,2502,333
"S159",858,411,223,163,17
"S160",4271,2446,1484,982,119
"S161",15629,8035,6244,3942,412
"S162",9848,5704,4160,2485,274
"S163",2400,1172,591,315,54
"S164",3170,1643,714,376,78
"S165",5253,3118,1761,929,140
"S166",4105,2745,1322,544,93
"S167",5786,3772,1936,809,157
"S168",4449,2871,1594,663,118
"S169",10400,5194,3470,1720,261
"S170",6165,4171,2828,1278,156
"S171",10299,4768,2995,1736,280
"S172",16263,7776,5164,3287,387
"S173",7744,4310,2121,1295,188
"S174",7392,3860,1994,972,186
"S175",2972,1698,838,391,80
"S176",6396,3776,1910,935,154
"S177",9208,4583,2469,1403,237
"S178",3549,2615,1371,638,78
"S179",12438,5927,3465,2045,312
"S180",15469,7558,4904,3117,421
"S181",16829,8621,5511,3513,507
"S182",13633,6382,3888,2556,400
"S183",14357,6754,4668,3061,424
"S184",7949,4383,2562,1333,207
