"query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa00001","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00002","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00003","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00004","","","","","","","","","","","","","","","",""
"Taxa00005","","","","","","","","","","","","","","","",""
"Taxa00006","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa00007","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00008","","","","","","","","","","","","","","","",""
"Taxa00009","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00010","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00011","","","","","","","","","","","","","","","",""
"Taxa00012","","","","","","","","","","","","","","","",""
"Taxa00013","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00014","","","","","","","","","","","","","","","",""
"Taxa00015","","","","","","","","","","","","","","","",""
"Taxa00016","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco04","",""
"Taxa00017","","","","","","","","","","","","","","","",""
"Taxa00018","","","","","","","","","","","","","","","",""
"Taxa00019","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00020","","","","","","","","","","","","","","","",""
"Taxa00021","","","","","","","","","","","","","","","",""
"Taxa00022","","","","","","","","","","","","","","","",""
"Taxa00023","","","","","","","","","","","","","","","",""
"Taxa00024","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00025","","","","","","","","","","","","","","","",""
"Taxa00026","","","","","","","","","","","","","","","",""
"Taxa00027","","","","","","","","","","","","","","","",""
"Taxa00028","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","Sporobolomyces sp. (in: Microbotryomycetes)","",""
"Taxa00029","","","","","","","","","","","","","","","",""
"Taxa00030","","","","","","","","","","","","","","","",""
"Taxa00031","","","","","","","","","","","","","","","",""
"Taxa00032","","","","","","","","","","","","","","","",""
"Taxa00033","","","","","","","","","","","","","","","",""
"Taxa00034","","","","","","","","","","","","","","","",""
"Taxa00035","","","","","","","","","","","","","","","",""
"Taxa00036","","","","","","","","","","","","","","","",""
"Taxa00037","","","","","","","","","","","","","","","",""
"Taxa00038","","","","","","","","","","","","","","","",""
"Taxa00039","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","Epicoccum","","","",""
"Taxa00040","","","","","","","","","","","","","","","",""
"Taxa00041","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00042","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00043","","","","","","","","","","","","","","","",""
"Taxa00044","","","","","","","","","","","","","","","",""
"Taxa00045","","","","","","","","","","","","","","","",""
"Taxa00046","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","Rhizophydiaceae","","","Rhizophydium","","","",""
"Taxa00047","","","","","","","","","","","","","","","",""
"Taxa00048","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00049","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Pleosporaceae","","","Alternaria","","","",""
"Taxa00050","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Trimorphomycetaceae","","","Saitozyma","","Saitozyma flava","",""
"Taxa00051","","","","","","","","","","","","","","","",""
"Taxa00052","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","Chlamydomonadaceae","","","Microglena","","Microglena monadina","",""
"Taxa00053","","","","","","","","","","","","","","","",""
"Taxa00054","Eukaryota","","","","Oomycetes","","Saprolegniales","","Saprolegniaceae","","","","","","",""
"Taxa00055","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00056","","","","","","","","","","","","","","","",""
"Taxa00057","","","","","","","","","","","","","","","",""
"Taxa00058","","","","","","","","","","","","","","","",""
"Taxa00059","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Rhodosporidiobolus","","Rhodosporidiobolus sp.","",""
"Taxa00060","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00061","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00062","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","","",""
"Taxa00063","","","","","","","","","","","","","","","",""
"Taxa00064","","","","","","","","","","","","","","","",""
"Taxa00065","","","","","","","","","","","","","","","",""
"Taxa00066","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco02","",""
"Taxa00067","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Trimorphomycetaceae","","","Saitozyma","","Saitozyma flava","",""
"Taxa00068","","","","","","","","","","","","","","","",""
"Taxa00069","","","","","","","","","","","","","","","",""
"Taxa00070","","","","","","","","","","","","","","","",""
"Taxa00071","","","","","","","","","","","","","","","",""
"Taxa00072","","","","","","","","","","","","","","","",""
"Taxa00073","","","","","","","","","","","","","","","",""
"Taxa00074","","","","","","","","","","","","","","","",""
"Taxa00075","","","","","","","","","","","","","","","",""
"Taxa00076","","","","","","","","","","","","","","","",""
"Taxa00077","","","","","","","","","","","","","","","",""
"Taxa00078","","","","","","","","","","","","","","","",""
"Taxa00079","","","","","","","","","","","","","","","",""
"Taxa00080","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa00081","","","","","","","","","","","","","","","",""
"Taxa00082","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00083","","","","","","","","","","","","","","","",""
"Taxa00084","","","","","","","","","","","","","","","",""
"Taxa00085","","","","","","","","","","","","","","","",""
"Taxa00086","","","","","","","","","","","","","","","",""
"Taxa00087","","","","","","","","","","","","","","","",""
"Taxa00088","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00089","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00090","","","","","","","","","","","","","","","",""
"Taxa00091","","","","","","","","","","","","","","","",""
"Taxa00092","","","","","","","","","","","","","","","",""
"Taxa00093","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","Epicoccum","","","",""
"Taxa00094","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","","","","","","","","","",""
"Taxa00095","","","","","","","","","","","","","","","",""
"Taxa00096","","","","","","","","","","","","","","","",""
"Taxa00097","","","","","","","","","","","","","","","",""
"Taxa00098","","","","","","","","","","","","","","","",""
"Taxa00099","Eukaryota","","","","","","","","","","","","","","",""
"Taxa00100","","","","","","","","","","","","","","","",""
"Taxa00101","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00102","","","","","","","","","","","","","","","",""
"Taxa00103","","","","","","","","","","","","","","","",""
"Taxa00104","","","","","","","","","","","","","","","",""
"Taxa00105","","","","","","","","","","","","","","","",""
"Taxa00106","","","","","","","","","","","","","","","",""
"Taxa00107","","","","","","","","","","","","","","","",""
"Taxa00108","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00109","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00110","","","","","","","","","","","","","","","",""
"Taxa00111","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00112","","","","","","","","","","","","","","","",""
"Taxa00113","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco01","",""
"Taxa00114","","","","","","","","","","","","","","","",""
"Taxa00115","","","","","","","","","","","","","","","",""
"Taxa00116","","","","","","","","","","","","","","","",""
"Taxa00117","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleraceae","","","Genolevuria","","","",""
"Taxa00118","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00119","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Chaetothyriomycetidae","Chaetothyriales","","Herpotrichiellaceae","","","Exophiala","","","",""
"Taxa00120","","","","","","","","","","","","","","","",""
"Taxa00121","","","","","","","","","","","","","","","",""
"Taxa00122","","","","","","","","","","","","","","","",""
"Taxa00123","","","","","","","","","","","","","","","",""
"Taxa00124","","","","","","","","","","","","","","","",""
"Taxa00125","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00126","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa00127","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00128","","","","","","","","","","","","","","","",""
"Taxa00129","","","","","","","","","","","","","","","",""
"Taxa00130","","","","","","","","","","","","","","","",""
"Taxa00131","","","","","","","","","","","","","","","",""
"Taxa00132","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","","","","","","","","","",""
"Taxa00133","","","","","","","","","","","","","","","",""
"Taxa00134","","","","","","","","","","","","","","","",""
"Taxa00135","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","","",""
"Taxa00136","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Rhynchogastremataceae","","","Papiliotrema","","Papiliotrema pseudoalba","",""
"Taxa00137","","","","","","","","","","","","","","","",""
"Taxa00138","","","","","","","","","","","","","","","",""
"Taxa00139","","","","","","","","","","","","","","","",""
"Taxa00140","","","","","","","","","","","","","","","",""
"Taxa00141","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00142","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00143","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00144","Eukaryota","","","","Oomycetes","","Saprolegniales","","Saprolegniaceae","","","Achlya","","","",""
"Taxa00145","","","","","","","","","","","","","","","",""
"Taxa00146","","","","","","","","","","","","","","","",""
"Taxa00147","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","",""
"Taxa00148","","","","","","","","","","","","","","","",""
"Taxa00149","","","","","","","","","","","","","","","",""
"Taxa00150","","","","","","","","","","","","","","","",""
"Taxa00151","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00152","","","","","","","","","","","","","","","",""
"Taxa00153","","","","","","","","","","","","","","","",""
"Taxa00154","","","","","","","","","","","","","","","",""
"Taxa00155","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Sporocadaceae","","","","","","",""
"Taxa00156","","","","","","","","","","","","","","","",""
"Taxa00157","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00158","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00159","Eukaryota","","","","Oomycetes","","Saprolegniales","","Saprolegniaceae","","","Achlya","","","",""
"Taxa00160","","","","","","","","","","","","","","","",""
"Taxa00161","","","","","","","","","","","","","","","",""
"Taxa00162","Eukaryota","Fungi","Dikarya","","","","","","","","","","","","",""
"Taxa00163","","","","","","","","","","","","","","","",""
"Taxa00164","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa00165","","","","","","","","","","","","","","","",""
"Taxa00166","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00167","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00168","","","","","","","","","","","","","","","",""
"Taxa00169","","","","","","","","","","","","","","","",""
"Taxa00170","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Dioszegia","","","",""
"Taxa00171","","","","","","","","","","","","","","","",""
"Taxa00172","","","","","","","","","","","","","","","",""
"Taxa00173","","","","","","","","","","","","","","","",""
"Taxa00174","","","","","","","","","","","","","","","",""
"Taxa00175","","","","","","","","","","","","","","","",""
"Taxa00176","","","","","","","","","","","","","","","",""
"Taxa00177","","","","","","","","","","","","","","","",""
"Taxa00178","","","","","","","","","","","","","","","",""
"Taxa00179","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa00180","","","","","","","","","","","","","","","",""
"Taxa00181","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Schizophyllaceae","","","Schizophyllum","","","",""
"Taxa00182","","","","","","","","","","","","","","","",""
"Taxa00183","","","","","","","","","","","","","","","",""
"Taxa00184","","","","","","","","","","","","","","","",""
"Taxa00185","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00186","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00187","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Rhynchogastremataceae","","","Papiliotrema","","","",""
"Taxa00188","","","","","","","","","","","","","","","",""
"Taxa00189","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Didymosphaeriaceae","","","Paraphaeosphaeria","","","",""
"Taxa00190","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","","","","",""
"Taxa00191","","","","","","","","","","","","","","","",""
"Taxa00192","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","uncultured Tremellales","",""
"Taxa00193","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00194","","","","","","","","","","","","","","","",""
"Taxa00195","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Cryptococcaceae","","","Cryptococcus","","","",""
"Taxa00196","","","","","","","","","","","","","","","",""
"Taxa00197","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","","","","","","","",""
"Taxa00198","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","Diplomitoporus","","Diplomitoporus rimosus","",""
"Taxa00199","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa00200","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00201","","","","","","","","","","","","","","","",""
"Taxa00202","","","","","","","","","","","","","","","",""
"Taxa00203","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Dioszegia","","","",""
"Taxa00204","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","","",""
"Taxa00205","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","","","","","","","","","",""
"Taxa00206","","","","","","","","","","","","","","","",""
"Taxa00207","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","","",""
"Taxa00208","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","Sphaerulina berberidis","",""
"Taxa00209","","","","","","","","","","","","","","","",""
"Taxa00210","","","","","","","","","","","","","","","",""
"Taxa00211","","","","","","","","","","","","","","","",""
"Taxa00212","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa00213","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Rhynchogastremataceae","","","Papiliotrema","","Papiliotrema fuscus","",""
"Taxa00214","","","","","","","","","","","","","","","",""
"Taxa00215","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa00216","","","","","","","","","","","","","","","",""
"Taxa00217","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","","","","","","","","","",""
"Taxa00218","","","","","","","","","","","","","","","",""
"Taxa00219","","","","","","","","","","","","","","","",""
"Taxa00220","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00221","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00222","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa00223","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Rhynchogastremataceae","","","Papiliotrema","","Papiliotrema flavescens","",""
"Taxa00224","","","","","","","","","","","","","","","",""
"Taxa00225","","","","","","","","","","","","","","","",""
"Taxa00226","","","","","","","","","","","","","","","",""
