"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",686,256,239,23,0
"S002",359,158,115,0,0
"S003",200,49,82,5,0
"S004",52,23,39,10,0
"S005",250,160,206,0,0
"S006",154,33,120,0,0
"S007",190,52,108,10,0
"S008",232,107,155,0,0
"S009",620,127,616,374,9
"S010",183,66,51,0,0
"S011",193,73,89,3,0
"S012",222,120,97,11,15
"S013",133,67,46,0,5
"S014",139,76,100,0,0
"S015",477,111,713,14,0
"S016",184,44,89,10,11
"S017",396,98,220,10,0
"S018",142,59,71,17,0
"S019",179,35,84,25,0
"S020",572,60,131,28,0
"S021",144,76,107,0,24
"S022",155,112,100,0,4
"S023",162,16,70,0,3
"S024",234,166,237,43,0
"S025",206,104,87,0,0
"S026",86,26,42,3,0
"S027",629,183,513,64,31
"S028",205,60,64,32,0
"S029",139,49,82,7,7
"S030",221,90,74,10,0
"S031",77,45,54,0,6
"S032",354,23,62,15,0
"S033",258,57,112,0,0
"S034",121,93,53,7,0
"S035",204,55,136,0,18
"S036",225,58,274,0,12
"S037",226,62,128,0,0
"S038",181,80,76,6,0
"S039",0,0,0,0,0
"S040",0,0,0,0,0
"S041",464,212,168,45,0
"S042",304,107,97,20,0
"S043",152,75,98,0,5
"S044",36,9,22,0,4
"S045",191,49,132,29,16
"S046",304,76,183,0,0
"S047",170,49,81,0,0
"S048",211,60,143,28,0
"S049",4275,219,309,0,0
"S050",1028,2926,225,41,0
"S051",179,93,134,19,14
"S052",362,212,195,21,0
"S053",408,141,350,26,0
"S054",903,202,285,38,0
"S055",607,94,982,10,0
"S056",2457,502,819,520,50
"S057",277,208,126,24,0
"S058",178,67,43,11,0
"S059",256,115,85,0,0
"S060",90,69,53,0,0
"S061",353,48,221,20,0
"S062",193,23,234,13,3
"S063",110,42,97,5,0
"S064",260,41,144,0,0
"S065",309,122,119,44,62
"S066",119,75,202,16,6
"S067",272,105,169,22,0
"S068",368,104,44,17,0
"S069",179,91,78,17,11
"S070",341,99,309,55,23
"S071",92,42,100,0,0
"S072",303,61,165,31,4
"S073",420,176,178,20,0
"S074",541,160,270,33,28
"S075",306,73,143,0,0
"S076",579,240,290,42,29
"S077",341,105,222,0,0
"S078",363,47,136,0,0
"S079",0,0,0,0,0
"S080",0,0,0,0,0
"S081",288,186,123,58,0
"S082",236,173,114,74,0
"S083",74,46,50,9,0
"S084",223,74,77,0,0
"S085",291,58,190,11,0
"S086",345,205,87,15,0
"S087",280,48,114,0,89
"S088",987,132,345,2,20
"S089",224,40,109,0,16
"S090",238,193,126,31,0
"S091",443,170,240,76,16
"S092",146,52,144,19,0
"S093",328,81,135,18,0
"S094",1027,349,264,12,0
"S095",348,166,177,11,0
"S096",330,180,218,0,13
"S097",544,226,215,51,0
"S098",412,122,131,0,40
"S099",257,67,120,11,20
"S100",254,52,73,18,0
"S101",425,166,188,45,0
"S102",252,132,63,15,5
"S103",166,54,267,13,0
"S104",300,68,405,11,0
"S105",559,267,162,37,0
"S106",281,148,178,31,0
"S107",272,104,126,47,0
"S108",116,36,69,0,0
"S109",145,35,65,0,0
"S110",199,60,120,10,0
"S111",374,78,179,4,3
"S112",247,151,181,57,13
"S113",639,370,99,43,0
"S114",277,114,79,0,0
"S115",463,271,165,23,0
"S116",376,185,329,11,0
"S117",441,111,206,6,0
"S118",396,113,264,44,0
"S119",0,0,0,0,0
"S120",0,0,0,0,0
"S121",1110,502,497,0,0
"S122",314,336,204,138,0
"S123",105,64,78,0,0
"S124",48,9,25,0,0
"S125",250,88,201,13,18
"S126",547,96,129,7,25
"S127",228,72,86,0,0
"S128",379,441,378,41,25
"S129",91,97,35,0,3
"S130",272,178,105,5,0
"S131",230,108,112,10,0
"S132",331,166,103,0,18
"S133",261,55,235,0,0
"S134",232,82,158,12,0
"S135",260,84,131,0,0
"S136",140,202,152,0,0
"S137",805,71,212,42,0
"S138",231,132,138,5,0
"S139",402,91,88,16,30
"S140",191,40,93,8,0
"S141",144,53,108,0,0
"S142",273,207,211,8,0
"S143",329,30,176,6,0
"S144",170,5400,131,3,0
"S145",272,194,98,7,0
"S146",290,83,68,10,0
"S147",266,113,182,0,9
"S148",188,49,98,0,5
"S149",250,396,218,13,0
"S150",333,101,127,10,0
"S151",287,90,128,0,20
"S152",388,315,318,0,0
"S153",213,143,55,5,0
"S154",264,51,107,17,0
"S155",252,196,164,0,0
"S156",337,77,137,0,13
"S157",194,63,103,5,3
"S158",279,61,216,6,0
"S159",0,0,0,0,0
"S160",0,0,0,0,0
"S161",295,211,169,28,5
"S162",441,93,93,21,0
"S163",72,102,23,7,3
"S164",67,39,42,0,0
"S165",364,117,217,14,0
"S166",215,112,157,19,0
"S167",723,335,278,0,0
"S168",486,79,290,7,20
"S169",94,88,111,9,0
"S170",145,28,37,0,0
"S171",203,85,100,37,0
"S172",177,54,108,4,0
"S173",251,87,209,9,0
"S174",339,57,168,33,28
"S175",121,20,58,0,0
"S176",158,120,132,32,0
"S177",153,33,48,0,7
"S178",120,43,45,0,0
"S179",681,2006,242,19,14
"S180",242,46,60,8,10
"S181",129,75,63,9,0
"S182",183,57,49,8,7
"S183",173,0,82,20,0
"S184",110,212,78,0,7
"S185",81,26,40,8,0
"S186",91,21,42,3,0
"S187",159,128,62,9,0
"S188",225,77,111,21,0
"S189",371,151,159,18,15
"S190",187,80,75,13,19
"S191",257,44,88,124,0
"S192",81,37,43,0,3
"S193",553,251,198,63,12
"S194",142,86,113,0,3
"S195",239,34,173,13,21
"S196",310,164,54,21,3
"S197",202,77,129,0,12
"S198",292,104,295,24,22
"S199",0,0,0,0,0
"S200",65,28,35,0,5
"S201",927,335,267,62,6
"S202",341,193,136,17,0
"S203",235,94,124,143,147
"S204",209,81,116,0,0
"S205",1851,404,719,4,49
"S206",221,66,67,23,0
"S207",99,12,56,0,0
"S208",253,1138,402,23,15
"S209",64,46,39,10,4
"S210",39,31,16,0,0
"S211",128,51,57,4,0
"S212",159,39,132,3,0
"S213",120,62,56,0,0
"S214",347,198,151,15,0
"S215",85,15,42,7,0
"S216",207,89,124,24,11
"S217",344,74,154,10,114
"S218",179,100,60,2,0
"S219",175,54,270,39,0
"S220",176,95,129,12,0
"S221",115,56,50,9,0
