"","query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa00001","Taxa00001","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00002","Taxa00002","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00003","Taxa00003","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00004","Taxa00004","","","","","","","","","","","","","","","",""
"Taxa00005","Taxa00005","","","","","","","","","","","","","","","",""
"Taxa00006","Taxa00006","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa00007","Taxa00007","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00008","Taxa00008","","","","","","","","","","","","","","","",""
"Taxa00009","Taxa00009","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco05","",""
"Taxa00010","Taxa00010","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa00011","Taxa00011","","","","","","","","","","","","","","","",""
"Taxa00012","Taxa00012","","","","","","","","","","","","","","","",""
"Taxa00013","Taxa00013","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","Cladosporium","","","",""
"Taxa00014","Taxa00014","","","","","","","","","","","","","","","",""
"Taxa00015","Taxa00015","","","","","","","","","","","","","","","",""
"Taxa00016","Taxa00016","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco04","",""
"Taxa00017","Taxa00017","","","","","","","","","","","","","","","",""
"Taxa00018","Taxa00018","","","","","","","","","","","","","","","",""
"Taxa00019","Taxa00019","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco03","",""
"Taxa00020","Taxa00020","","","","","","","","","","","","","","","",""
"Taxa00021","Taxa00021","","","","","","","","","","","","","","","",""
