"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",2525,1942,239,209,23
"S002",762,885,65,0,6
"S003",2454,2185,41,184,9
"S004",572,621,22,105,6
"S005",2141,2143,188,260,44
"S006",508,587,47,31,0
"S007",34,30,6,3,3
"S008",95,74,31,8,0
"S009",791,965,279,113,15
"S010",586,633,31,59,19
"S011",737,680,102,91,0
"S012",168,232,11,8,3
"S013",1371,1595,133,125,38
"S014",862,742,56,56,10
"S015",167,221,34,14,0
"S016",209,208,33,19,6
"S017",5186,6704,744,385,96
"S018",1022,855,155,94,100
"S019",768,467,77,70,0
"S020",827,846,64,78,22
"S021",1324,1369,171,214,61
"S022",605,525,0,36,65
"S023",206,218,24,13,0
"S024",3632,3103,370,238,40
"S025",1738,1923,168,193,109
"S026",2521,2832,355,353,159
"S027",795,379,71,59,0
"S028",838,542,127,66,13
"S029",2825,3041,296,183,6
"S030",750,914,46,53,0
"S031",812,993,98,92,15
"S032",402,433,38,44,7
"S033",898,530,30,66,0
"S034",263,231,24,13,4
"S035",377,302,51,29,0
"S036",653,562,69,29,0
"S037",273,163,15,11,74
"S038",1225,1514,162,207,60
"S039",0,12,4,2,0
"S040",3,0,0,2,0
"S041",284,331,60,0,12
"S042",1174,1014,149,97,36
"S043",1214,910,103,73,4
"S044",296,349,50,27,13
"S045",737,640,45,31,0
"S046",502,533,53,64,20
"S047",24,18,0,0,0
"S048",170,177,12,21,2
"S049",184,232,0,5,19
"S050",182,160,20,32,0
"S051",280,395,42,25,14
"S052",379,464,41,35,6
"S053",630,677,148,32,24
"S054",361,518,49,90,12
"S055",273,432,25,11,19
"S056",241,236,24,10,5
"S057",66,127,10,0,0
"S058",145,223,11,15,3
"S059",258,255,25,19,9
"S060",218,373,42,32,0
"S061",214,190,0,45,0
"S062",40,41,0,4,0
"S063",21,31,4,0,0
"S064",382,401,47,26,0
"S065",2388,2595,234,182,52
"S066",382,499,45,95,20
"S067",270,438,59,48,8
"S068",229,255,30,19,0
"S069",250,276,32,24,15
"S070",185,208,11,10,15
"S071",181,150,18,9,21
"S072",863,1002,141,85,0
"S073",258,338,31,64,10
"S074",415,460,66,37,7
"S075",465,424,73,63,9
"S076",182,252,11,11,4
"S077",82,81,21,45,0
"S078",786,761,119,88,26
"S079",14,13,0,2,0
"S080",0,0,0,0,0
"S081",685,566,152,59,20
"S082",984,1284,40,103,58
"S083",1843,1977,147,145,133
"S084",148,175,8,0,0
"S085",1115,378,48,38,27
"S086",439,380,57,51,8
"S087",158,121,17,39,0
"S088",3,10,0,0,4
"S089",206,250,0,7,0
"S090",529,288,10,8,12
"S091",469,473,145,105,5
"S092",254,162,7,12,43
"S093",1411,486,61,51,16
"S094",716,657,93,40,15
"S095",786,771,48,91,0
"S096",17,76,0,0,0
"S097",1329,1581,98,126,21
"S098",839,663,36,47,21
"S099",484,215,32,27,55
"S100",682,633,71,53,13
"S101",851,613,113,73,35
"S102",1198,1200,112,54,43
"S103",1201,1406,259,189,13
"S104",361,310,48,28,13
"S105",1150,1143,82,47,78
"S106",1112,1036,53,75,41
"S107",167,150,5,14,0
"S108",598,401,43,30,5
"S109",553,547,92,69,10
"S110",1010,1048,37,188,66
