"","query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"Taxa00001","Taxa00001","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00002","Taxa00002","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00003","Taxa00003","Eukaryota","","","","","","","","","Arcellinida","","","","","","","","","","",""
"Taxa00004","Taxa00004","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00005","Taxa00005","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00006","Taxa00006","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00007","Taxa00007","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00008","Taxa00008","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI01",""
"Taxa00009","Taxa00009","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","","","","","","","","","","","STD_mlCOI02",""
"Taxa00010","Taxa00010","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00011","Taxa00011","Eukaryota","Metazoa","","","","","","","","","","","","","","","","","","",""
"Taxa00012","Taxa00012","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00013","Taxa00013","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00014","Taxa00014","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00015","Taxa00015","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00016","Taxa00016","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00017","Taxa00017","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00018","Taxa00018","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00019","Taxa00019","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","","Baetidae","","","Cloeon","","",""
"Taxa00020","Taxa00020","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00021","Taxa00021","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00022","Taxa00022","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00023","Taxa00023","Eukaryota","Metazoa","","Arthropoda","","","","","","","","","","","","","","","","",""
"Taxa00024","Taxa00024","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00025","Taxa00025","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00026","Taxa00026","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","","",""
"Taxa00027","Taxa00027","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00028","Taxa00028","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus","Chironomus kiiensis",""
"Taxa00029","Taxa00029","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00030","Taxa00030","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00031","Taxa00031","Eukaryota","","","","","","","","","","","","","","","","","","","",""
"Taxa00032","Taxa00032","Eukaryota","","","","","","","","","Himatismenida","","","","","Cochliopodiidae","","","Cochliopodium","","",""
"Taxa00033","Taxa00033","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomoidea","Chironomidae","Chironominae","Chironomini","Chironomus","","",""
"Taxa00034","Taxa00034","Eukaryota","Metazoa","","Arthropoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicoidea","Culicidae","Culicinae","Aedini","Aedes","Finlaya","Aedes japonicus",""
