"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S001",6840,2831,945,329,257
"S002",1826,762,239,105,57
"S003",2336,983,362,91,79
"S004",943,430,132,42,47
"S005",1181,538,161,50,36
"S006",1689,763,216,82,61
"S007",1401,585,194,70,45
"S008",1699,690,213,81,81
"S009",2691,1069,306,88,73
"S010",1736,689,195,50,40
"S011",2291,848,298,95,84
"S012",2327,907,344,86,79
"S013",1921,844,280,86,80
"S014",1562,670,191,94,61
"S015",2239,932,255,99,78
"S016",1679,741,247,56,69
"S017",1861,821,241,74,57
"S018",2152,934,255,96,84
"S019",1502,629,205,58,56
"S020",5827,2464,858,337,192
"S021",2529,1074,326,116,72
"S022",3540,1507,455,160,126
"S023",1896,773,237,88,57
"S024",600,266,86,26,15
"S025",298,125,49,20,19
"S026",134,48,20,8,6
"S027",442,200,68,17,16
"S028",295,122,45,15,19
"S029",821,379,106,36,28
"S030",1295,511,129,45,30
"S031",698,301,109,25,30
"S032",320,138,45,15,16
"S033",1981,714,220,61,54
"S034",529,170,69,24,14
"S035",4066,1530,563,178,144
"S036",971,401,125,43,30
"S037",32948,14880,6509,2423,1754
"S038",36691,16600,7432,2805,2377
"S039",1487,529,207,82,55
"S040",52,10,0,0,0
"S041",6552,2568,1148,313,264
"S042",2815,1166,440,121,130
"S043",1162,450,162,51,43
"S044",510,186,81,28,27
"S045",1117,440,147,55,40
"S046",2351,827,304,86,89
"S047",1022,361,149,38,25
"S048",254,103,35,13,8
"S049",1032,432,155,62,44
"S050",1383,597,206,59,52
"S051",923,349,119,35,28
"S052",3250,1187,460,154,117
"S053",1698,706,227,64,57
"S054",1442,592,199,56,58
"S055",853,332,111,34,30
"S056",1626,567,215,81,54
"S057",852,399,115,41,22
"S058",870,369,109,39,26
"S059",1040,431,146,36,27
"S060",1711,748,265,73,59
"S061",1224,520,187,62,51
"S062",485,210,37,24,17
"S063",312,124,47,9,12
"S064",406,160,41,14,13
"S065",433,172,57,24,16
"S066",635,294,80,32,26
"S067",603,230,91,27,21
"S068",741,322,107,20,20
"S069",498,230,71,29,18
"S070",906,403,107,54,36
"S071",519,202,69,23,28
"S072",1105,397,149,47,44
"S073",5924,2394,817,238,222
