"sample_name","treatment","plot","ind_id","Osp1g00380","Osp1g00940"
"S082","CT","1","P1-1-2",28.1084396486965,3.8770261584409
"S083","CT","1","P1-2-2",28.2845602444955,4.15949415360228
"S084","CT","1","P1-3-2",33.3533513028801,5.26631862677054
"S085","GN","2","P2-1-2",32.1483499295183,2.67902916079319
"S086","GN","2","P2-2-2",19.549944623739,9.77497231186948
"S087","GN","2","P2-3-2",17.9516110220084,1.49596758516737
"S088","CK","3","P3-1-2",19.4625855289693,0.608205797780289
"S089","CK","3","P3-2-2",766.477096350943,217.331764540403
"S090","CK","3","P3-3-2",19.1148597446347,2.52460411721591
"S091","CT","4","P4-1-2",20.945278851497,4.1890557702994
"S092","CT","4","P4-2-2",14.4616088247198,1.17256287767998
"S093","CT","4","P4-3-2",20.6223239067481,1.00596701984137
"S094","GN","5","P5-1-2",62.4600675024366,2.65787521286964
"S095","GN","5","P5-2-2",18.2579414518656,4.05732032263681
"S096","GN","5","P5-3-2",37.5686203113453,7.271345866712
"S097","CK","6","P6-1-2",851.045429780107,178.8008133508
"S098","CK","6","P6-2-2",26.8123632080961,2.18876434351805
"S099","CK","6","P6-3-2",108.474885655848,18.8651975053648
"S100","CT","7","P7-1-2",36.5426247548386,3.04521872956988
"S101","CT","7","P7-2-2",10.8053282845578,0
"S102","CT","7","P7-3-2",34.2262503446261,0
"S103","GN","8","P8-1-2",13.5344324220857,1.04111018631429
"S104","GN","8","P8-2-2",18.9164029793214,0.727553960743132
"S105","GN","8","P8-3-2",740.084979701636,159.974700852537
"S106","CK","9","P9-1-2",38.2120877291281,1.81962322519658
"S107","CK","9","P9-2-2",38.4981155818105,4.27756839797894
"S108","CK","9","P9-3-2",18.5862916291877,2.32328645364847
