index_1st_run,file_name_1st_run,index_2nd_run,file_name_2nd_run,Sample_Name,Sample_Name2,date,time,day_of_the_week,time_point,day_count,treatment,sampling_event,plot,individual_id,location_id,sample_type,rna_conc_before_adjust,run01_read_00initial,run01_read_01preprocess,run01_read_02unique,run02_read_00initial,run02_read_01preprocess,run02_read_02unique,total_read00,total_read01,total_read02
Index009,OsaUC_3_IPg009,Index009,OsaCU-4_009,S1-P1-1-1-CT,S001,2019/06/23,8:50,Sun,16,33,CT,S1,1,P1-1-1,L1,sample,425.4,394533,376884,317380,3432003,3370406,1939523,3826536,3747290,2256903
Index010,OsaUC_3_IPg010,Index010,OsaCU-4_010,S1-P1-2-1-CT,S002,2019/06/23,8:50,Sun,16,33,CT,S1,1,P1-2-1,L2,sample,637.8,2114946,2048867,1719761,9653324,9493152,5308003,11768270,11542019,7027764
Index011,OsaUC_3_IPg011,Index011,OsaCU-4_011,S1-P1-3-1-CT,S003,2019/06/23,8:50,Sun,16,33,CT,S1,1,P1-3-1,L3,sample,594.7,575913,552432,472224,5944477,5828194,3465167,6520390,6380626,3937391
Index012,OsaUC_3_IPg012,Index012,OsaCU-4_012,S1-P2-1-1-PN,S004,2019/06/23,8:53,Sun,16,33,PN,S1,2,P2-1-1,L1,sample,571.7,595125,571558,486371,3021422,2955072,1741442,3616547,3526630,2227813
Index013,OsaUC_3_IPg013,Index013,OsaCU-4_013,S1-P2-2-1-PN,S005,2019/06/23,8:53,Sun,16,33,PN,S1,2,P2-2-1,L2,sample,408.7,612303,589298,501736,7380549,7270421,4237579,7992852,7859719,4739315
Index014,OsaUC_3_IPg014,Index014,OsaCU-4_014,S1-P2-3-1-PN,S006,2019/06/23,8:53,Sun,16,33,PN,S1,2,P2-3-1,L3,sample,404.1,450277,430406,366193,4693582,4611226,2684888,5143859,5041632,3051081
Index015,OsaUC_3_IPg015,Index015,OsaCU-4_015,S1-P3-1-1-RM,S007,2019/06/23,8:57,Sun,16,33,RM,S1,3,P3-1-1,L1,sample,504.9,1115161,1073289,907171,9301222,9142089,5297167,10416383,10215378,6204338
Index016,OsaUC_3_IPg016,Index016,OsaCU-4_016,S1-P3-2-1-RM,S008,2019/06/23,8:57,Sun,16,33,RM,S1,3,P3-2-1,L2,sample,491,903095,869335,736382,10614977,10431593,5993932,11518072,11300928,6730314
Index017,OsaUC_3_IPg017,Index017,OsaCU-4_017,S1-P3-3-1-RM,S009,2019/06/23,8:57,Sun,16,33,RM,S1,3,P3-3-1,L3,sample,702,61785,57434,49067,4176021,4096855,2417344,4237806,4154289,2466411
Index018,OsaUC_3_IPg018,Index018,OsaCU-4_018,S1-P4-1-1-CT,S010,2019/06/23,9:01,Sun,16,33,CT,S1,4,P4-1-1,L1,sample,525.6,345229,328433,282031,2893580,2840600,1697782,3238809,3169033,1979813
