Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
OsaUC_Index009_R1.fastq	394533	59574483	151.0	151.0	0.0	0.0	151	151
OsaUC_Index010_R1.fastq	2114946	319356846	151.0	151.0	0.0	0.0	151	151
OsaUC_Index011_R1.fastq	575913	86962863	151.0	151.0	0.0	0.0	151	151
OsaUC_Index012_R1.fastq	595125	89863875	151.0	151.0	0.0	0.0	151	151
OsaUC_Index013_R1.fastq	612303	92457753	151.0	151.0	0.0	0.0	151	151
OsaUC_Index014_R1.fastq	450277	67991827	151.0	151.0	0.0	0.0	151	151
OsaUC_Index015_R1.fastq	1115161	168389311	151.0	151.0	0.0	0.0	151	151
OsaUC_Index016_R1.fastq	903095	136367345	151.0	151.0	0.0	0.0	151	151
OsaUC_Index017_R1.fastq	61785	9329535	151.0	151.0	0.0	0.0	151	151
OsaUC_Index018_R1.fastq	345229	52129579	151.0	151.0	0.0	0.0	151	151
OsaUC_Index019_R1.fastq	736745	111248495	151.0	151.0	0.0	0.0	151	151
OsaUC_Index020_R1.fastq	650388	98208588	151.0	151.0	0.0	0.0	151	151
OsaUC_Index021_R1.fastq	554056	83662456	151.0	151.0	0.0	0.0	151	151
OsaUC_Index022_R1.fastq	273610	41315110	151.0	151.0	0.0	0.0	151	151
OsaUC_Index024_R1.fastq	135642	20481942	151.0	151.0	0.0	0.0	151	151
OsaUC_Index025_R1.fastq	7353	1110303	151.0	151.0	0.0	0.0	151	151
OsaUC_Index026_R1.fastq	204598	30894298	151.0	151.0	0.0	0.0	151	151
OsaUC_Index027_R1.fastq	559207	84440257	151.0	151.0	0.0	0.0	151	151
OsaUC_Index028_R1.fastq	236017	35638567	151.0	151.0	0.0	0.0	151	151
OsaUC_Index029_R1.fastq	187240	28273240	151.0	151.0	0.0	0.0	151	151
OsaUC_Index030_R1.fastq	240916	36378316	151.0	151.0	0.0	0.0	151	151
OsaUC_Index031_R1.fastq	185761	28049911	151.0	151.0	0.0	0.0	151	151
OsaUC_Index032_R1.fastq	359764	54324364	151.0	151.0	0.0	0.0	151	151
OsaUC_Index033_R1.fastq	98465	14868215	151.0	151.0	0.0	0.0	151	151
OsaUC_Index034_R1.fastq	186542	28167842	151.0	151.0	0.0	0.0	151	151
OsaUC_Index035_R1.fastq	93221	14076371	151.0	151.0	0.0	0.0	151	151
OsaUC_Index036_R1.fastq	7363883	1111946333	151.0	151.0	0.0	0.0	151	151
OsaUC_Index037_R1.fastq	8154207	1231285257	151.0	151.0	0.0	0.0	151	151
OsaUC_Index039_R1.fastq	8736109	1319152459	151.0	151.0	0.0	0.0	151	151
OsaUC_Index040_R1.fastq	11478921	1733317071	151.0	151.0	0.0	0.0	151	151
OsaUC_Index041_R1.fastq	919313	138816263	151.0	151.0	0.0	0.0	151	151
OsaUC_Index042_R1.fastq	6862519	1036240369	151.0	151.0	0.0	0.0	151	151
OsaUC_Index043_R1.fastq	9795660	1479144660	151.0	151.0	0.0	0.0	151	151
OsaUC_Index044_R1.fastq	5268325	795517075	151.0	151.0	0.0	0.0	151	151
OsaUC_Index045_R1.fastq	10921882	1649204182	151.0	151.0	0.0	0.0	151	151
OsaUC_Index046_R1.fastq	5536927	836075977	151.0	151.0	0.0	0.0	151	151
OsaUC_Index047_R1.fastq	6946272	1048887072	151.0	151.0	0.0	0.0	151	151
OsaUC_Index048_R1.fastq	4027983	608225433	151.0	151.0	0.0	0.0	151	151
OsaUC_Index049_R1.fastq	445169	67220519	151.0	151.0	0.0	0.0	151	151
OsaUC_Index050_R1.fastq	5413268	817403468	151.0	151.0	0.0	0.0	151	151
OsaUC_Index051_R1.fastq	8151300	1230846300	151.0	151.0	0.0	0.0	151	151
OsaUC_Index052_R1.fastq	9698406	1464459306	151.0	151.0	0.0	0.0	151	151
OsaUC_Index054_R1.fastq	10602954	1601046054	151.0	151.0	0.0	0.0	151	151
OsaUC_Index055_R1.fastq	8077962	1219772262	151.0	151.0	0.0	0.0	151	151
OsaUC_Index056_R1.fastq	7337485	1107960235	151.0	151.0	0.0	0.0	151	151
OsaUC_Index057_R1.fastq	148601	22438751	151.0	151.0	0.0	0.0	151	151
OsaUC_Index058_R1.fastq	8233185	1243210935	151.0	151.0	0.0	0.0	151	151
OsaUC_Index059_R1.fastq	4297171	648872821	151.0	151.0	0.0	0.0	151	151
OsaUC_Index060_R1.fastq	10117756	1527781156	151.0	151.0	0.0	0.0	151	151
OsaUC_Index061_R1.fastq	6270504	946846104	151.0	151.0	0.0	0.0	151	151
OsaUC_Index062_R1.fastq	6449617	973892167	151.0	151.0	0.0	0.0	151	151
OsaUC_Index063_R1.fastq	3722812	562144612	151.0	151.0	0.0	0.0	151	151
OsaUC_Index064_R1.fastq	1038439	156804289	151.0	151.0	0.0	0.0	151	151
OsaUC_Index065_R1.fastq	14070	2124570	151.0	151.0	0.0	0.0	151	151
OsaUC_Index066_R1.fastq	2217915	334905165	151.0	151.0	0.0	0.0	151	151
OsaUC_Index067_R1.fastq	2625862	396505162	151.0	151.0	0.0	0.0	151	151
OsaUC_Index023_R1.fastq	242838	36668538	151.0	151.0	0.0	0.0	151	151
OsaUC_Index038_R1.fastq	5178640	781974640	151.0	151.0	0.0	0.0	151	151
OsaUC_Index053_R1.fastq	4723143	713194593	151.0	151.0	0.0	0.0	151	151
OsaUC_Index068_R1.fastq	1586537	239567087	151.0	151.0	0.0	0.0	151	151
OsaUC_Index083_R1.fastq	1774984	268022584	151.0	151.0	0.0	0.0	151	151
OsaUC_Index118_R1.fastq	16075502	2427400802	151.0	151.0	0.0	0.0	151	151
OsaUC_Index069_R1.fastq	2988315	451235565	151.0	151.0	0.0	0.0	151	151
OsaUC_Index070_R1.fastq	1862774	281278874	151.0	151.0	0.0	0.0	151	151
OsaUC_Index071_R1.fastq	4077854	615755954	151.0	151.0	0.0	0.0	151	151
OsaUC_Index072_R1.fastq	879936	132870336	151.0	151.0	0.0	0.0	151	151
OsaUC_Index073_R1.fastq	17729	2677079	151.0	151.0	0.0	0.0	151	151
OsaUC_Index074_R1.fastq	7232082	1092044382	151.0	151.0	0.0	0.0	151	151
OsaUC_Index075_R1.fastq	5645236	852430636	151.0	151.0	0.0	0.0	151	151
OsaUC_Index076_R1.fastq	2083457	314602007	151.0	151.0	0.0	0.0	151	151
OsaUC_Index077_R1.fastq	2882245	435218995	151.0	151.0	0.0	0.0	151	151
OsaUC_Index078_R1.fastq	730439	110296289	151.0	151.0	0.0	0.0	151	151
OsaUC_Index079_R1.fastq	1193035	180148285	151.0	151.0	0.0	0.0	151	151
OsaUC_Index080_R1.fastq	4091530	617821030	151.0	151.0	0.0	0.0	151	151
OsaUC_Index081_R1.fastq	20735	3130985	151.0	151.0	0.0	0.0	151	151
OsaUC_Index082_R1.fastq	1328871	200659521	151.0	151.0	0.0	0.0	151	151
OsaUC_Index084_R1.fastq	791286	119484186	151.0	151.0	0.0	0.0	151	151
OsaUC_Index085_R1.fastq	1473767	222538817	151.0	151.0	0.0	0.0	151	151
OsaUC_Index086_R1.fastq	3204798	483924498	151.0	151.0	0.0	0.0	151	151
OsaUC_Index087_R1.fastq	563677	85115227	151.0	151.0	0.0	0.0	151	151
OsaUC_Index088_R1.fastq	1018475	153789725	151.0	151.0	0.0	0.0	151	151
OsaUC_Index109_R1.fastq	867183	130944633	151.0	151.0	0.0	0.0	151	151
OsaUC_Index110_R1.fastq	5991984	904789584	151.0	151.0	0.0	0.0	151	151
OsaUC_Index111_R1.fastq	8405389	1269213739	151.0	151.0	0.0	0.0	151	151
OsaUC_Index112_R1.fastq	6936439	1047402289	151.0	151.0	0.0	0.0	151	151
OsaUC_Index113_R1.fastq	4465753	674328703	151.0	151.0	0.0	0.0	151	151
OsaUC_Index114_R1.fastq	1264549	190946899	151.0	151.0	0.0	0.0	151	151
OsaUC_Index115_R1.fastq	3745425	565559175	151.0	151.0	0.0	0.0	151	151
OsaUC_Index116_R1.fastq	9193020	1388146020	151.0	151.0	0.0	0.0	151	151
OsaUC_Index117_R1.fastq	16739	2527589	151.0	151.0	0.0	0.0	151	151
OsaUC_Index119_R1.fastq	5465613	825307563	151.0	151.0	0.0	0.0	151	151
OsaUC_Index120_R1.fastq	12727456	1921845856	151.0	151.0	0.0	0.0	151	151
OsaUC_Index121_R1.fastq	11235816	1696608216	151.0	151.0	0.0	0.0	151	151
OsaUC_Index122_R1.fastq	5396595	814885845	151.0	151.0	0.0	0.0	151	151
OsaUC_Index123_R1.fastq	11830365	1786385115	151.0	151.0	0.0	0.0	151	151
OsaUC_Index124_R1.fastq	5004919	755742769	151.0	151.0	0.0	0.0	151	151
OsaUC_Index125_R1.fastq	288660	43587660	151.0	151.0	0.0	0.0	151	151
OsaUC_Index126_R1.fastq	10154284	1533296884	151.0	151.0	0.0	0.0	151	151
