Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
Index009_1	376884	56145098	148.97	151.0	55.87	7.47	151	100
Index010_1	2048867	305337765	149.03	151.0	53.48	7.31	151	100
Index011_1	552432	82262409	148.91	151.0	57.4	7.58	151	100
Index012_1	571558	85079964	148.86	151.0	58.64	7.66	151	100
Index013_1	589298	87790089	148.97	151.0	55.74	7.47	151	100
Index014_1	430406	64060318	148.84	151.0	59.31	7.7	151	100
Index015_1	1073289	159880530	148.96	151.0	55.45	7.45	151	100
Index016_1	869335	129501597	148.97	151.0	55.22	7.43	151	100
Index017_1	57434	8533300	148.58	151.0	65.98	8.12	151	100
Index018_1	328433	48843949	148.72	151.0	62.27	7.89	151	100
Index029_1	173109	25715062	148.55	151.0	68.99	8.31	151	100
Index030_1	224643	33401170	148.69	151.0	65.34	8.08	151	100
Index031_1	173281	25741591	148.55	151.0	68.83	8.3	151	100
Index032_1	337062	50059193	148.52	151.0	68.94	8.3	151	100
Index033_1	92316	13726934	148.7	151.0	64.4	8.03	151	100
Index034_1	173959	25855083	148.63	151.0	65.34	8.08	151	100
Index035_1	86761	12887781	148.54	151.0	68.55	8.28	151	100
Index036_1	7138215	1063300343	148.96	151.0	55.15	7.43	151	100
Index037_1	7895449	1175836054	148.93	151.0	55.49	7.45	151	100
Index049_1	430551	64155800	149.01	151.0	54.39	7.37	151	100
Index050_1	5241258	780608012	148.94	151.0	55.45	7.45	151	100
Index051_1	7936960	1183137043	149.07	151.0	52.08	7.22	151	100
Index052_1	9418646	1404267907	149.09	151.0	51.07	7.15	151	100
Index053_1	4576944	681843382	148.97	151.0	54.08	7.35	151	100
Index054_1	10294948	1534529268	149.06	151.0	52.75	7.26	151	100
Index055_1	7831375	1167036348	149.02	151.0	53.03	7.28	151	100
Index056_1	7138640	1063485662	148.98	151.0	54.13	7.36	151	100
Index057_1	144010	21431297	148.82	151.0	60.18	7.76	151	100
Index069_1	2896066	431552096	149.01	151.0	53.85	7.34	151	100
Index070_1	1804197	268746244	148.96	151.0	54.92	7.41	151	100
Index071_1	3946801	588090496	149.0	151.0	53.69	7.33	151	100
Index072_1	850611	126677170	148.92	151.0	55.99	7.48	151	100
Index073_1	16697	2461582	147.43	151.0	90.24	9.5	151	100
Index074_1	7026243	1046772232	148.98	151.0	54.08	7.35	151	100
Index075_1	5470217	815044024	149.0	151.0	53.83	7.34	151	100
Index076_1	2015727	300323667	148.99	151.0	54.25	7.37	151	100
Index077_1	2795804	416658197	149.03	151.0	53.09	7.29	151	100
Index109_1	834401	124320290	148.99	151.0	55.13	7.43	151	100
Index110_1	5806121	865686679	149.1	151.0	51.09	7.15	151	100
Index111_1	8169680	1218228662	149.12	151.0	50.89	7.13	151	100
Index112_1	6698727	998250019	149.02	151.0	53.81	7.34	151	100
Index113_1	4328525	645420772	149.11	151.0	51.35	7.17	151	100
Index114_1	1223440	182396450	149.08	151.0	51.6	7.18	151	100
Index019_1	708251	105433340	148.86	151.0	57.92	7.61	151	100
Index020_1	621837	92504018	148.76	151.0	60.99	7.81	151	100
Index021_1	529009	78773833	148.91	151.0	58.25	7.63	151	100
Index022_1	257995	38384626	148.78	151.0	61.03	7.81	151	100
Index023_1	227528	33784381	148.48	151.0	69.24	8.32	151	100
Index024_1	126393	18767861	148.49	151.0	70.11	8.37	151	100
Index025_1	6942	1021985	147.22	151.0	97.0	9.85	151	100
