Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
OsaUC2_Index001_R1.fastq	495	74745	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index002_R1.fastq	408	61608	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index003_R1.fastq	187	28237	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index004_R1.fastq	1314	198414	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index005_R1.fastq	174	26274	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index006_R1.fastq	104	15704	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index007_R1.fastq	199	30049	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index008_R1.fastq	363	54813	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index009_R1.fastq	3432003	518232453	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index010_R1.fastq	9653324	1457651924	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index011_R1.fastq	5944477	897616027	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index012_R1.fastq	3021422	456234722	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index013_R1.fastq	7380549	1114462899	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index014_R1.fastq	4693582	708730882	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index015_R1.fastq	9301222	1404484522	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index016_R1.fastq	10614977	1602861527	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index017_R1.fastq	4176021	630579171	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index018_R1.fastq	2893580	436930580	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index019_R1.fastq	4098628	618892828	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index020_R1.fastq	5567394	840676494	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index121_R1.fastq	48	7248	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index122_R1.fastq	1815	274065	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index123_R1.fastq	79	11929	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index124_R1.fastq	113	17063	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index125_R1.fastq	18418659	2781217509	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index126_R1.fastq	362	54662	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index127_R1.fastq	92	13892	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index128_R1.fastq	70	10570	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index129_R1.fastq	99	14949	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index130_R1.fastq	145	21895	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index131_R1.fastq	118	17818	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index132_R1.fastq	54	8154	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index133_R1.fastq	12934415	1953096665	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index134_R1.fastq	648	97848	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index136_R1.fastq	160	24160	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index137_R1.fastq	233	35183	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index138_R1.fastq	111	16761	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index139_R1.fastq	110	16610	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index140_R1.fastq	105	15855	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index141_R1.fastq	169	25519	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index142_R1.fastq	1533	231483	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index143_R1.fastq	74	11174	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index144_R1.fastq	123	18573	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index145_R1.fastq	61	9211	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index146_R1.fastq	152	22952	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index147_R1.fastq	70	10570	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index148_R1.fastq	98	14798	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index149_R1.fastq	131	19781	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index151_R1.fastq	265	40015	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index152_R1.fastq	186	28086	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index153_R1.fastq	36	5436	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index154_R1.fastq	46	6946	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index155_R1.fastq	119	17969	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index156_R1.fastq	878	132578	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index157_R1.fastq	337	50887	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index158_R1.fastq	198	29898	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index159_R1.fastq	39	5889	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index160_R1.fastq	67	10117	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index161_R1.fastq	322	48622	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index162_R1.fastq	158	23858	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index163_R1.fastq	156	23556	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index164_R1.fastq	748	112948	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index021_R1.fastq	4296530	648776030	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index043_R1.fastq	78	11778	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index058_R1.fastq	582	87882	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index073_R1.fastq	4932203	744762653	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index098_R1.fastq	149615	22591865	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index120_R1.fastq	617	93167	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index135_R1.fastq	2229	336579	151.0	151.0	0.0	0.0	151	151
