Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
Index001	446	66405	148.89	151.0	38.38	6.2	151	111
Index002	341	51028	149.64	151.0	39.41	6.28	151	100
Index003	123	18432	149.85	151.0	20.6	4.54	151	116
Index004	1159	173418	149.63	151.0	37.53	6.13	151	100
Index005	120	17840	148.67	151.0	41.57	6.45	151	103
Index006	79	11814	149.54	151.0	46.02	6.78	151	107
Index007	184	27512	149.52	151.0	40.16	6.34	151	101
Index008	309	46122	149.26	151.0	49.31	7.02	151	103
Index009	1939523	289601261	149.32	151.0	45.06	6.71	151	100
Index010	5308003	792941189	149.39	151.0	41.48	6.44	151	100
Index011	3465167	517413550	149.32	151.0	44.41	6.66	151	100
Index012	1741442	259769220	149.17	151.0	49.13	7.01	151	100
Index013	4237579	633706378	149.54	151.0	37.5	6.12	151	100
Index014	2684888	401160365	149.41	151.0	41.64	6.45	151	100
Index015	5297167	791412452	149.4	151.0	41.62	6.45	151	100
Index016	5993932	895509352	149.4	151.0	40.84	6.39	151	100
Index017	2417344	361110931	149.38	151.0	42.52	6.52	151	100
Index018	1697782	253573911	149.36	151.0	43.02	6.56	151	100
Index019	2409614	360042837	149.42	151.0	41.06	6.41	151	100
Index021	2387656	356244131	149.2	151.0	48.0	6.93	151	100
Index022	2280969	340491825	149.28	151.0	45.65	6.76	151	100
Index023	1822766	272297778	149.39	151.0	42.26	6.5	151	100
Index024	1766023	263769823	149.36	151.0	43.75	6.61	151	100
Index025	1491708	222549806	149.19	151.0	49.56	7.04	151	100
Index026	2669879	397268944	148.8	151.0	60.45	7.78	151	100
Index027	3319402	495810165	149.37	151.0	42.93	6.55	151	100
Index028	3554063	531220355	149.47	151.0	39.52	6.29	151	100
Index029	1284744	191658332	149.18	151.0	48.96	7.0	151	100
Index030	1520647	226847816	149.18	151.0	49.86	7.06	151	100
Index031	1049108	156572142	149.24	151.0	47.35	6.88	151	100
Index032	989760	147514048	149.04	151.0	53.37	7.31	151	100
Index033	1738477	259726799	149.4	151.0	42.79	6.54	151	100
Index034	862791	128657431	149.12	151.0	50.61	7.11	151	100
Index035	89548	13360952	149.2	151.0	48.19	6.94	151	100
Index036	261	38727	148.38	151.0	60.43	7.77	151	103
Index037	41	6064	147.9	151.0	79.45	8.91	151	108
Index038	354	52874	149.36	151.0	50.76	7.12	151	103
Index039	65	9798	150.74	151.0	0.35	0.59	151	148
Index041	8714964	1300337820	149.21	151.0	46.14	6.79	151	100
Index042	140	20835	148.82	151.0	70.0	8.37	151	101
Index043	63	9362	148.6	151.0	61.83	7.86	151	107
Index044	233	34668	148.79	151.0	58.35	7.64	151	107
Index045	364	54531	149.81	151.0	28.82	5.37	151	101
Index046	62	9317	150.27	151.0	11.01	3.32	151	127
Index047	146	21979	150.54	151.0	3.8	1.95	151	133
Index048	176	25844	146.84	151.0	92.7	9.63	151	100
Index049	10741219	1602348479	149.18	151.0	47.18	6.87	151	100
Index050	270	39942	147.93	151.0	70.89	8.42	151	102
Index051	91	13502	148.37	151.0	62.61	7.91	151	106
Index052	580	86859	149.76	151.0	30.37	5.51	151	106
Index053	69	10192	147.71	151.0	92.06	9.59	151	104
Index054	54	8104	150.07	151.0	14.07	3.75	151	130
Index055	158	23477	148.59	151.0	52.28	7.23	151	111
Index056	60	8803	146.72	151.0	109.77	10.48	151	110
Index057	11185337	1670208901	149.32	151.0	42.97	6.56	151	100
Index058	333	49723	149.32	151.0	45.33	6.73	151	102
Index059	471	70020	148.66	151.0	69.36	8.33	151	100
Index061	291	43459	149.34	151.0	59.58	7.72	151	101
Index062	56	8409	150.16	151.0	12.74	3.57	151	127
Index063	10028169	1496346515	149.21	151.0	46.36	6.81	151	100
Index064	3519266	525133449	149.22	151.0	46.71	6.83	151	100
Index065	5208406	777851790	149.35	151.0	43.21	6.57	151	100
Index066	5471303	816765720	149.28	151.0	44.93	6.7	151	100
Index067	4774263	713070409	149.36	151.0	41.91	6.47	151	100
Index068	3369005	502810635	149.25	151.0	45.59	6.75	151	100
Index069	7664607	1144543106	149.33	151.0	43.28	6.58	151	100
Index070	3654450	545590111	149.29	151.0	44.11	6.64	151	100
Index071	7033785	1049641884	149.23	151.0	45.94	6.78	151	100
Index072	3819229	570621017	149.41	151.0	41.49	6.44	151	100
Index073	2838696	423552602	149.21	151.0	47.94	6.92	151	100
Index074	17750646	2650578509	149.32	151.0	42.59	6.53	151	100
Index075	8773103	1309196086	149.23	151.0	45.59	6.75	151	100
Index076	4264109	636086289	149.17	151.0	47.74	6.91	151	100
Index077	2355463	350385825	148.75	151.0	60.16	7.76	151	100
Index078	1832421	272903681	148.93	151.0	57.03	7.55	151	100
Index079	5731551	855948947	149.34	151.0	43.5	6.6	151	100
Index081	5344610	797986288	149.31	151.0	43.63	6.61	151	100
Index082	2406552	359105842	149.22	151.0	47.28	6.88	151	100
Index083	2811232	419116532	149.09	151.0	50.58	7.11	151	100
Index084	2841364	424373600	149.36	151.0	43.57	6.6	151	100
Index085	5910416	882975782	149.39	151.0	41.95	6.48	151	100
Index086	5903427	881193475	149.27	151.0	45.47	6.74	151	100
Index087	2269218	338673836	149.25	151.0	46.88	6.85	151	100
Index088	3890801	580529172	149.21	151.0	47.35	6.88	151	100
Index089	52	7694	147.96	151.0	101.58	10.08	151	101
Index090	58	8618	148.59	151.0	81.21	9.01	151	101
Index091	53	7923	149.49	151.0	33.87	5.82	151	112
Index092	1185	176973	149.34	151.0	42.61	6.53	151	101
Index093	62	9250	149.19	151.0	62.8	7.92	151	102
Index094	107	15695	146.68	151.0	128.44	11.33	151	101
Index095	79	11803	149.41	151.0	36.77	6.06	151	106
Index096	1183	176612	149.29	151.0	50.4	7.1	151	100
Index097	144303	21684818	150.27	151.0	17.52	4.19	151	100
Index098	132064	19871227	150.47	151.0	10.93	3.31	151	100
Index099	104249	15607700	149.72	151.0	35.66	5.97	151	100
Index020	3319851	496037063	149.42	151.0	41.37	6.43	151	100
Index040	424	63140	148.92	151.0	58.51	7.65	151	101
Index060	45	6582	146.27	151.0	162.15	12.73	151	100
Index080	8784213	1312213131	149.38	151.0	41.72	6.46	151	100
Index100	87	12918	148.48	151.0	66.92	8.18	151	109
Index120	569	84269	148.1	151.0	59.89	7.74	151	102
Index140	92	13829	150.32	151.0	26.91	5.19	151	101
Index160	58	8660	149.31	151.0	61.18	7.82	151	108
Index101	1364	203401	149.12	151.0	50.31	7.09	151	100
Index102	203	30432	149.91	151.0	19.11	4.37	151	119
Index103	227	33872	149.22	151.0	49.3	7.02	151	107
Index104	142	21163	149.04	151.0	48.16	6.94	151	101
Index105	43	6471	150.49	151.0	6.62	2.57	151	134
Index106	195	28601	146.67	151.0	104.69	10.23	151	105
Index107	241	36231	150.34	151.0	7.11	2.67	151	127
Index108	76	11431	150.41	151.0	8.61	2.93	151	126
Index109	746665	111355059	149.14	151.0	49.74	7.05	151	100
Index110	252	37793	149.97	151.0	26.65	5.16	151	105
Index111	154	22946	149.0	151.0	58.03	7.62	151	106
Index112	66	9770	148.03	151.0	97.3	9.86	151	108
Index113	428	63953	149.42	151.0	44.99	6.71	151	100
Index114	31	4668	150.58	151.0	2.11	1.45	151	143
Index115	524	78064	148.98	151.0	52.72	7.26	151	100
Index116	191	28246	147.88	151.0	75.29	8.68	151	103
Index117	9606488	1433118232	149.18	151.0	46.81	6.84	151	100
Index118	488	73017	149.62	151.0	39.98	6.32	151	101
Index119	710	106199	149.58	151.0	39.37	6.27	151	100
Index121	38	5655	148.82	151.0	45.94	6.78	151	118
Index122	1704	254722	149.48	151.0	39.74	6.3	151	100
Index123	55	8211	149.29	151.0	30.86	5.56	151	117
Index124	81	12109	149.49	151.0	48.65	6.97	151	113
Index125	10630611	1586827662	149.27	151.0	44.2	6.65	151	100
Index126	211	31420	148.91	151.0	60.42	7.77	151	100
Index127	56	8370	149.46	151.0	37.61	6.13	151	113
